GENESIS-Tabelle: Temporär
Bevölkerung: Kreise, Stichtag, Geschlecht, Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr
31.12.2014;03103;Wolfsburg, kreisfreie Stadt;1804;1528;1857;2688;1615;1203;3739;4824;4540;3798;3690;4671;4879;4196;3612;5979;6171;1630;1580;1971;2531;1599;1007;3275;4240;4308;3659;3682;4661;4742;4174;3654;6825;8695
31.12.2014;03151;Gifhorn, Landkreis;2383;2327;3334;4687;3233;2102;4927;4708;4737;4847;5556;7854;8199;6792;5506;8155;6652;2282;2217;3171;4583;2921;1949;4134;4414;4793;4819;5717;7712;7955;6479;5507;8436;9453
31.12.2014;03152;Göttingen, Landkreis;3150;3055;4251;5595;3902;3048;9591;9997;7700;6570;7314;9756;10088;8871;7508;11930;10081;2875;2686;3629;5420;3643;2878;9538;9680;8268;6795;7468;9792;10165;8742;7520;12865;15849
31.12.2014;03153;Goslar, Landkreis;1303;1347;2024;2893;1987;1515;4429;4048;3433;3337;4027;5830;5706;5006;4680;8277;7556;1246;1250;1832;2736;1963;1174;3279;3276;3305;3195;4126;5492;5777;5108;4885;9280;11934
31.12.2014;03154;Helmstedt, Landkreis;1012;1009;1507;2095;1503;985;2483;2364;2513;2463;2885;3935;4169;3671;3173;4886;4314;1008;961;1390;1908;1364;852;2130;2245;2328;2445;2780;3905;4152;3491;3115;5125;6742
31.12.2014;03155;Northeim, Landkreis;1470;1494;2123;3232;2293;1436;3417;3201;3214;3293;4126;5652;6047;5518;4773;7393;6894;1470;1413;2101;2856;2156;1333;2917;3034;3257;3327;4060;5840;6113;5172;4752;7792;10736
31.12.2014;03156;Osterode am Harz, Landkreis;718;729;1110;1677;1219;766;1695;1619;1636;1689;2212;3102;3308;2884;2740;4711;4199;684;698;1043;1579;1110;719;1458;1417;1575;1714;2282;2929;3211;2905;2841;4993;6621
31.12.2014;03157;Peine, Landkreis;1673;1642;2463;3714;2400;1490;3457;3289;3337;3586;4412;6108;5795;4805;4052;6484;5604;1579;1644;2317;3337;2231;1399;3013;2968;3355;3627;4595;5976;5806;4677;4209;7064;8493
31.12.2014;03158;Wolfenbüttel, Landkreis;1345;1376;2040;2970;2102;1344;3434;3075;2959;3002;3743;5613;5454;4645;3921;6579;5516;1287;1371;1893;2806;2017;1342;2865;2694;2779;3148;3993;5514;5351;4372;3908;7264;8313
31.12.2014;03201;Hannover, kreisfreie Stadt (bis 31.10.2001);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2014;03241;Region Hannover, Landkreis;15643;14736;19668;25867;16841;11880;32946;36853;37083;34906;36471;47532;45738;38753;32106;54348;47114;14716;14347;19070;24798;16332;11265;32872;37300;37774;34622;36680;46862;45291;38333;33723;61971;73596
31.12.2014;03251;Diepholz, Landkreis;2585;2663;3847;5561;3944;2463;5726;5343;5394;5405;6863;9779;9710;7995;6841;11136;9472;2381;2481;3569;4974;3556;2185;4944;4933;5479;5701;7056;9912;9200;7749;6854;11670;13722
31.12.2014;03252;Hameln-Pyrmont, Landkreis;1668;1742;2509;3513;2446;1759;3942;3367;3702;3499;4290;6341;6466;5383;4706;8030;7708;1626;1523;2205;3317;2378;1462;3658;3635;3719;3754;4517;6290;6502;5790;5149;9116;12101
31.12.2014;03253;Hannover, Landkreis (bis 31.10.2001);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2014;03254;Hildesheim, Landkreis;3146;3220;4658;6716;4652;3054;8034;7318;7151;7072;8445;11883;11898;10039;8644;14288;12777;3096;2895;4329;6369;4344;3008;8643;7407;7256;7461;8726;11778;11854;10012;8976;15612;19793
31.12.2014;03255;Holzminden, Landkreis;746;811;1074;1749;1254;791;2041;1983;1759;1681;2065;2933;3092;2712;2486;4127;3875;737;779;1025;1604;1140;795;1791;1640;1644;1658;2091;2991;3040;2668;2560;4361;5735
31.12.2014;03256;Nienburg (Weser), Landkreis;1407;1492;2128;3142;2167;1461;3394;3212;3112;3117;3769;5365;5615;4643;4008;5860;5283;1338;1379;2047;2963;2107;1319;3021;2850;3017;3089;3818;5074;5303;4577;3920;6338;8296
31.12.2014;03257;Schaumburg, Landkreis;1768;1702;2608;3906;2714;1721;4065;3763;3808;3886;4818;7003;7007;5795;5085;8646;7609;1659;1720;2447;3704;2585;1670;3633;3555;3821;3912;4955;7004;6963;5835;5348;9207;11925
31.12.2014;03351;Celle, Landkreis;2234;2305;3242;4606;3070;1999;4836;4879;4872;4634;5355;7484;7425;6213;5692;9604;7793;2197;2155;3135;4388;2907;1807;4162;4591;4692;4620;5419;7285;7421;6413;6228;10334;12160
31.12.2014;03352;Cuxhaven, Landkreis;2309;2311;3492;4964;3495;2229;5126;4648;4701;4730;6006;8289;8335;7200;7029;11919;9345;2184;2308;3160;4811;3342;2050;4073;4523;4801;4988;6436;8701;8470;7536;7070;12277;13929
31.12.2014;03353;Harburg, Landkreis;3292;3280;4605;6495;4262;2747;6207;5569;6093;6549;8028;11801;11327;8682;7131;13237;10420;3104;3199;4461;6152;4089;2533;5280;5334;6666;7173;8452;11925;10958;8725;7772;14916;14735
