GENESIS-Tabelle: Temporär
Bevölkerung: Kreise, Stichtag, Geschlecht, Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr
31.12.2014;05166;Viersen, Landkreis;3393;3507;5096;7268;5159;3378;8096;7637;7580;7360;9109;13941;14104;11349;9278;14584;12591;3311;3405;4906;7318;4932;3327;7588;7105;7817;8069;9704;13922;13719;11407;9762;16461;18884
31.12.2014;05170;Wesel, Landkreis;5351;5310;7594;10784;7297;5075;12784;12222;12070;11642;13740;19836;20755;18304;15339;23500;20604;5050;5135;7185;10451;7126;4666;11460;11903;12015;12364;14555;20309;21019;18569;16574;25984;30672
31.12.2014;05313;Aachen, kreisfreie Stadt (bis 20.10.2009);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2014;05314;Bonn, kreisfreie Stadt;4860;4802;6320;6988;4225;3220;10418;11831;12369;9882;9813;11910;11393;9440;7447;12351;11510;4634;4141;5374;7244;4458;3433;12516;12746;12380;10659;10363;12831;12289;10055;8633;15024;18399
31.12.2014;05315;Köln, kreisfreie Stadt;15927;14369;18556;22229;13878;9677;32794;41391;43461;39205;38430;44632;39334;30816;24568;43181;36381;14995;13111;16779;21184;13288;9883;37116;45357;45462;38787;36521;41913;38662;32481;28559;49639;54114
31.12.2014;05316;Leverkusen, kreisfreie Stadt;2240;2096;2927;4008;2565;1682;4434;4809;5010;4326;4918;7020;6953;5500;4309;7668;7808;2139;2089;2877;3710;2385;1570;4258;4670;4851;4956;5404;7010;6860;5746;4909;8708;11125
31.12.2014;05334;Städteregion Aachen, Landkreis;7113;6320;8827;12726;8696;7726;25910;23921;18807;14801;16229;21844;21630;18129;15272;24867;21757;6599;6440;8965;11822;7950;6118;18646;18182;16443;14744;16498;21593;21193;19217;16877;28099;33700
31.12.2014;05354;Aachen, Landkreis (bis 20.10.2009);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2014;05358;Düren, Landkreis;3203;3334;4761;6547;4660;3180;8150;7395;7044;6937;8140;11032;11417;10024;8456;12731;10770;3096;2990;4247;6254;4408;2881;7108;7085;7127;6760;8118;11378;11395;10099;8761;13610;15975
31.12.2014;05362;Rhein-Erft-Kreis;6256;6250;8509;11562;7818;5157;12919;12345;12631;12842;14699;20763;20073;16751;13782;22512;18951;5957;5690;7810;11127;7383;4837;11950;12064;13392;13781;15438;20611;19947;16761;15397;25980;27503
31.12.2014;05366;Euskirchen, Landkreis;2295;2287;3283;4937;3414;2249;5262;5024;5113;4865;5705;8299;8877;7509;6503;9272;7875;2218;2226;3285;4629;3297;1949;4684;4607;4900;5063;5908;8453;8761;7337;6353;9988;11731
31.12.2014;05370;Heinsberg, Landkreis;3095;3184;4551;6526;4516;3274;7356;6722;6878;6920;7682;10832;11376;9848;8286;11579;10101;3021;3094;4204;6137;4365;2805;6535;6544;6780;6928;8110;10968;11465;9604;8128;12647;15249
31.12.2014;05374;Oberbergischer Kreis;3614;3483;4901;7172;4984;3353;8223;7630;7602;7246;7994;11556;12002;10250;8248;12599;11637;3364;3452;4864;7078;4885;3111;6969;6769;7496;7298;8347;11874;11911;10357;8642;13848;17859
31.12.2014;05378;Rheinisch-Bergischer Kreis;3512;3553;5025;7380;5008;3142;7242;6412;6591;6868;8441;12618;12860;10587;8227;14323;13548;3264;3368;4865;6773;4636;2941;6409;6257;7144;7697;9416;13425;12991;10508;8898;16680;18888
31.12.2014;05382;Rhein-Sieg-Kreis;8044;7914;10863;15804;10566;6791;16205;15469;15879;15258;17819;26161;26022;21564;17595;29124;24668;7375;7573;10689;14667;9872;6411;15260;15028;16455;16839;19412;26415;26367;22109;18846;32559;34158
31.12.2014;05512;Bottrop, kreisfreie Stadt;1347;1391;1882;2749;1848;1306;3248;3346;3322;3346;3782;5013;5065;4643;3700;5356;4755;1244;1273;1847;2655;1768;1156;3028;3242;3264;3212;3674;4979;4960;4626;4150;6573;8267
31.12.2014;05513;Gelsenkirchen, kreisfreie Stadt;3372;3320;4497;6431;4214;2844;8183;8411;8068;7777;8646;10848;10727;9583;7773;12242;10233;3206;3264;4428;5767;3791;2607;7514;7837;7546;7361;8324;9731;10125;9528;8420;13402;17631
31.12.2014;05515;Münster, kreisfreie Stadt;4130;3726;4831;6198;4033;3431;13052;14424;12658;9538;9200;11273;10827;9143;7451;10633;9802;3900;3737;4622;5859;3690;3909;16718;15480;12092;9294;9105;11174;11036;9254;7718;13027;17213
31.12.2014;05554;Borken, Landkreis;4997;5175;7460;10629;7278;4762;12068;11062;10504;10246;12040;16892;16370;12804;10530;15489;13330;4906;4936;6821;10076;6966;4454;10570;10145;10333;10114;11921;16102;15796;12846;10540;16511;20518
31.12.2014;05558;Coesfeld, Landkreis;2863;2715;4003;5968;4252;2870;6528;5783;5442;5693;6822;9897;9882;8347;6976;9911;8253;2610;2585;3820;5704;4100;2642;5499;5036;5772;5994;7105;9859;9906;8607;7036;10521;12995
31.12.2014;05562;Recklinghausen, Landkreis;7461;7268;10148;14824;10198;6753;17510;17231;16654;16615;19417;26077;26428;23908;20130;30866;26707;6919;6861;9626;13979;9573;6308;15279;15547;16561;17056;20208;26193;26631;24950;22087;34339;42780
31.12.2014;05566;Steinfurt, Landkreis;5930;5899;8535;12479;8650;5733;13862;12486;11876;11822;14289;19746;19386;16042;13039;19283;17182;5647;5510;7930;11955;8175;5242;11847;11314;11667;11772;14589;19893;19404;15646;13098;20803;26396
31.12.2014;05570;Warendorf, Landkreis;3579;3699;5204;7832;5224;3365;7754;7323;7498;7181;8684;12391;12061;10116;8307;12903;11256;3368;3365;4908;7401;4988;3057;7121;6992;7124;7773;9095;11838;11760;10092;8850;13762;17541
31.12.2014;05711;Bielefeld, kreisfreie Stadt;4610;4593;6259;7982;5140;3583;10930;12283;11187;9927;10719;13255;12539;9985;8203;14026;13761;4441;4191;5722;7445;5086;3687;12002;12460;11652;9888;10578;12287;12326;11021;9605;16292;22117
31.12.2014;05754;Gütersloh, Landkreis;4879;4767;6982;9990;6669;4552;11084;10670;10543;10306;11899;15812;15431;12859;10126;15378;14072;4652;4689;6449;9306;6366;4060;9451;9627;10250;10092;11949;15719;15338;12447;10222;16773;21054
31.12.2014;05758;Herford, Landkreis;3159;3318;4584;6393;4431;2967;7213;7172;6760;6680;7788;10682;10894;9248;7392;11658;11233;3058;2960;4286;6018;4155;2693;6109;6432;6988;6951;8146;10608;10903;9296;7790;13077;18177
31.12.2014;05762;Höxter, Landkreis;1705;1812;2597;3822;2684;1853;4408;4144;3830;3756;4231;6111;6355;5616;4723;6818;6368;1612;1649;2474;3648;2633;1566;3603;3546;3576;3668;4465;5878;6147;5392;4769;7251;10060
31.12.2014;05766;Lippe, Landkreis;4761;4462;6400;9312;6153;4197;10341;9998;9282;8629;10189;14018;14485;12855;10481;16453;16176;4338;4529;6478;8689;5839;3947;9102;8881;9088;9125;10591;14617;14724;12656;11068;18478;24785
31.12.2014;05770;Minden-Lübbecke, Landkreis;4036;4031;5822;8237;5600;3814;9131;9073;8301;8089;9618;12959;13385;11562;9506;14388;13949;3873;3884;5629;7794;5270;3510;7978;7846;8202;8053;9794;13027;13504;11709;9719;15781;22142
31.12.2014;05774;Paderborn, Landkreis;4318;4265;5770;7866;5357;3758;10561;11473;10522;9103;9593;12202;12340;11105;8770;11796;10195;4172;4067;5521;7598;4963;3469;10091;9960;9258;8884;9650;11867;12099;10552;8576;12867;16483
31.12.2014;05911;Bochum, kreisfreie Stadt;4350;4095;5567;7246;4781;3313;11598;13320;12727;10435;11132;14528;14469;13293;11241;17408;15327;4194;3912;5363;7277;4672;3580;12407;13523;12104;9950;10745;13985;13950;12779;11790;20585;26230
31.12.2014;05913;Dortmund, kreisfreie Stadt;7815;7290;9937;13167;8522;6207;19810;21714;19915;18068;19222;24170;22948;19708;16624;25680;23220;7606;6792;9125;12601;8232;5903;18798;20134;19688;17320;18137;22371;22172;19863;18207;31186;38359
31.12.2014;05914;Hagen, kreisfreie Stadt;2443;2348;3313;4584;2871;2052;5241;5325;5463;5102;5694;7696;7853;6867;5804;9277;8561;2233;2056;2849;4394;2983;1991;5492;5582;5272;5078;5835;7709;7786;6664;5930;10806;13562
31.12.2014;05915;Hamm, kreisfreie Stadt;2344;2282;3109;4703;3155;2137;5654;5519;4825;5253;5643;7192;7199;6073;5304;8432;7169;2387;2296;3235;4375;2908;1946;5091;5082;5501;5313;5791;6933;6781;6452;5847;9238;11411
31.12.2014;05916;Herne, kreisfreie Stadt;1948;1868;2702;3692;2469;1713;4564;4523;4524;4340;5276;6717;6620;5373;4688;7659;6350;1844;1700;2204;3581;2285;1636;4557;4609;4417;4398;5133;5926;6056;5881;5218;8655;11482
31.12.2014;05954;Ennepe-Ruhr-Kreis;3748;3620;5070;7433;5120;3442;9030;8667;8367;8305;9739;14159;14342;12309;10411;17273;14883;3704;3509;4933;6833;4646;3117;8266;8425;8696;8576;10076;14651;14509;12810;11409;19516;23322
31.12.2014;05958;Hochsauerlandkreis;3127;3037;4481;7058;4773;3339;8126;7606;7148;6677;8467;11655;11752;9936;8169;12692;11635;2915;2985;4486;6523;4481;2726;6442;6509;6711;6944;8307;11152;11315;10108;8500;13544;18235
31.12.2014;05962;Märkischer Kreis;5149;5119;7357;10534;7135;4906;12310;12032;11425;10908;12677;18287;18553;15533;12759;20093;17788;4907;4862;7003;10062;6861;4392;10883;10827;11194;11071;13105;18062;18252;15626;13558;23014;27576
31.12.2014;05966;Olpe, Landkreis;1817;1766;2587;3640;2522;1626;4008;3998;3980;3844;4379;6281;6112;5210;4189;6080;5258;1665;1561;2259;3458;2419;1469;3741;3607;3755;3771;4394;5965;5931;4851;3995;6353;8268
31.12.2014;05970;Siegen-Wittgenstein, Landkreis;3425;3367;4641;6654;4606;3361;9432;9060;8289;7561;8292;11594;11787;10085;8671;13077;11988;3278;3262;4417;6292;4405;3054;8908;8504;7785;7301;8205;11018;11475;10262;9132;14696;18025
31.12.2014;05974;Soest, Landkreis;3898;3715;5392;7936;5461;3563;8690;8385;8406;8014;9390;13183;13260;11198;9269;13823;12402;3628;3631;5169;7474;5015;3203;7639;7540;8144;8255;9773;12894;12855;11176;9484;15302;19575
31.12.2014;05978;Unna, Landkreis;4770;4519;6517;9722;6745;4482;11266;10459;10282;10653;12149;16819;17242;15135;12772;19746;16529;4581;4379;6392;9145;6421;4247;9817;9693;10499;11054;12643;17084;17314;15554;13549;22493;27102
31.12.2014;06411;Darmstadt, kreisfreie Stadt;2227;2066;2654;3223;1978;1698;7369;8917;6171;5218;5072;5757;5314;4305;3502;6093;5088;2176;2049;2545;3082;1860;1467;5732;6527;5662;4384;4383;5428;5482;4619;4188;7115;8528
31.12.2014;06412;Frankfurt am Main, kreisfreie Stadt;11775;10628;13187;14664;8589;5948;20431;30440;33697;30083;28431;31146;26776;20988;17395;28657;20966;11442;10284;12352;14168;8276;5888;21913;32893;34922;29733;26390;27627;24781;20530;18353;30617;33654
31.12.2014;06413;Offenbach am Main, kreisfreie Stadt;1968;1880;2453;3016;1782;1299;3895;4757;4773;4154;4185;5093;4744;3651;2875;5146;4160;2010;1748;2276;2886;1710;1230;3963;4600;4721;4233;3943;4638;4361;3734;3265;5697;6142
31.12.2014;06414;Wiesbaden, kreisfreie Stadt;4397;4117;5491;6433;4026;2582;7308;8864;9348;8868;9061;11341;10575;8821;7069;12503;10560;4151;3831;4970;6403;3993;2659;7924;9216;10866;9620;9658;11387;10793;8965;8020;14806;16490
31.12.2014;06431;Bergstraße, Landkreis;3231;3204;4361;6352;4364;2960;7425;7403;7482;7101;8299;11586;12197;10186;8425;13606;11358;3231;3018;4031;5942;4071;2706;6525;6692;7316;7367;8639;11805;12011;10209;8842;15195;16682
31.12.2014;06432;Darmstadt-Dieburg, Landkreis;3910;3843;5256;7284;4936;3290;8318;8132;8197;8237;9364;13311;12919;10498;8826;14661;11376;3546;3622;4954;6839;4568;3002;7408;7710;8220;8703;9643;12953;12661;10669;9553;15613;15944
31.12.2014;06433;Groß-Gerau, Landkreis;3827;3703;4766;6713;4241;2908;7616;8272;8769;8367;8952;11487;11103;8684;7235;12468;10071;3725;3591;4842;6084;4051;2704;7126;7953;8467;8689;8689;10985;10438;8801;7865;13627;13974
31.12.2014;06434;Hochtaunuskreis;3056;3325;4722;6186;3851;2355;5300;5270;5576;6498;7864;10557;9767;7665;6453;12126;10573;2943;3115;4336;5779;3673;2286;4885;5243;6410;7096;8487;10836;10238;8315;7065;14034;14913
31.12.2014;06435;Main-Kinzig-Kreis;5415;5171;7276;9896;6754;4428;11198;11848;12033;11899;13527;17905;17718;14647;12379;20716;16827;4916;5132;6988;9719;6339;4109;10647;11195;11614;12268;13878;17565;17345;15072;13650;23004;24541
31.12.2014;06436;Main-Taunus-Kreis;3264;3411;4792;5856;3659;2270;5301;5760;6749;7017;8075;10536;9715;7588;6272;11515;10006;3124;3077;4368;5627;3392;2202;5118;5801;7067;7683;8517;10778;9774;7895;6954;13204;13609
31.12.2014;06437;Odenwaldkreis;1138;1136;1621;2370;1575;1126;2891;2786;2507;2439;2908;3948;4213;3813;3377;5146;4423;1053;1114;1572;2197;1553;987;2498;2436;2470;2608;3068;3963;4230;3724;3424;5335;6433
31.12.2014;06438;Offenbach, Landkreis;4744;4758;6430;8511;5382;3563;8847;9684;10402;10503;11780;15042;14522;11793;9866;17467;14234;4451;4370;6159;7856;4888;3206;8593;9598;11010;10896;11560;14569;14258;12048;11138;19530;20011
31.12.2014;06439;Rheingau-Taunus-Kreis;2201;2245;3322;4491;3125;1961;4891;4564;4688;4613;5740;8612;8113;6699;5707;10176;8004;2086;2121;3072;4351;2938;1807;4314;4004;4829;5287;6196;8477;8187;7024;6240;10794;11238
31.12.2014;06440;Wetteraukreis;3797;3936;5405;7540;4956;3445;8426;8174;8177;8742;9941;13471;13171;10802;9200;14921;12102;3610;3657;5143;7040;4922;3123;7562;7889;8499;8814;10006;13566;13045;10953;9484;15837;18013
31.12.2014;06531;Gießen, Landkreis;3263;3299;4292;5877;4116;3338;10397;10859;8622;7341;7804;9962;10511;8750;7671;11589;10058;3194;2951;4122;5531;3624;3051;11197;10262;8313;7361;7742;9779;10399;9190;7976;12491;14902
31.12.2014;06532;Lahn-Dill-Kreis;3084;3224;4565;6200;4245;2989;7539;7321;7038;6867;7738;10774;11003;9372;7885;12540;10922;2952;3048;4149;5903;4105;2774;6806;6850;6910;7069;8168;10667;10924;9284;8315;13548;16662
31.12.2014;06533;Limburg-Weilburg, Landkreis;2106;2041;3194;4371;3019;2035;4972;5004;4847;4697;5453;7459;7732;6447;5581;8262;7025;2023;2085;2837;4265;2837;1835;4373;4395;4700;4704;5427;7470;7570;6470;5653;8855;10641
31.12.2014;06534;Marburg-Biedenkopf, Landkreis;3031;2972;4245;5702;3986;2886;9399;9092;7618;6820;7246;9524;9932;8279;7194;10477;9670;2885;2850;3954;5461;3622;3034;10389;8831;7483;6672;7480;9213;9860;8440;7354;11515;14482
31.12.2014;06535;Vogelsbergkreis;1078;1193;1706;2411;1750;1184;2878;2786;2795;2747;3274;4302;4863;4652;4002;5413;5443;1080;1167;1577;2323;1737;1034;2446;2412;2548;2787;3304;4263;4840;4326;3808;5580;8054
31.12.2014;06611;Kassel, kreisfreie Stadt;2732;2556;3301;4153;2743;2026;7016;8677;7415;5872;5829;7312;7407;6391;5124;8566;7319;2547;2273;3081;3872;2616;2121;7888;8445;6788;5639;5850;7220;7336;6428;5683;10208;12313
31.12.2014;06631;Fulda, Landkreis;2865;2803;3871;5618;3906;2573;6827;6850;6571;5982;6875;9280;9208;7752;6470;9958;9474;2819;2662;3771;5495;3719;2511;6434;6264;6089;5996;7181;9003;9053;7727;6743;10731;14245
31.12.2014;06632;Hersfeld-Rotenburg, Landkreis;1430;1467;2089;2767;1980;1277;3255;3298;3284;3137;3808;4972;5270;4664;4106;6396;5920;1323;1320;1975;2672;1794;1183;2774;3059;3029;3046;3777;4769;5091;4497;4256;6782;8927
31.12.2014;06633;Kassel, Landkreis;2742;2760;3799;5564;3854;2602;5818;5752;5896;5772;7268;10181;10157;8917;7931;13733;11270;2473;2518;3563;5213;3603;2328;5232;5399;5943;6205;7570;10403;10299;9041;8313;14658;16674
31.12.2014;06634;Schwalm-Eder-Kreis;2065;2138;3038;4308;3024;2090;5137;5020;4951;4848;5699;7741;8200;7069;6109;9599;8338;1994;1977;2765;4016;2803;1776;4319;4452;4662;4785;5745;7607;7921;6974;6161;9742;12393
31.12.2014;06635;Waldeck-Frankenberg, Landkreis;1847;1906;2768;3934;2745;1862;4451;4360;4224;3883;4685;6723;7226;6033;5220;8033;7503;1795;1749;2504;3767;2476;1689;3707;3732;3896;4265;5047;6576;6926;6088;5322;8447;11071
31.12.2014;06636;Werra-Meißner-Kreis;1024;1103;1482;2257;1510;1126;2706;2505;2514;2346;3025;4121;4551;4080;3568;5829;5273;1053;1075;1514;2166;1461;999;2435;2364;2364;2415;3073;4138;4417;3961;3646;6162;7943
31.12.2014;07111;Koblenz, kreisfreie Stadt;1486;1281;1708;2196;1410;1050;3801;4494;4401;3384;3314;4166;4239;3544;3142;5294;4821;1397;1283;1700;2109;1377;1175;4647;4712;3773;3082;3116;4039;4109;3736;3531;5888;8029
31.12.2014;07131;Ahrweiler, Landkreis;1452;1454;1962;2920;2122;1452;3495;3327;3118;3061;3597;5469;5916;5000;4338;6752;6369;1408;1438;1930;2816;2045;1341;3230;3014;3224;3199;3870;5552;5656;4909;4272;7621;9314
31.12.2014;07132;Altenkirchen (Westerwald), Landkreis;1604;1612;2326;3142;2272;1638;3914;3548;3452;3312;3910;5469;5823;5061;4395;6200;5594;1489;1528;2172;2956;2138;1421;3421;3267;3453;3331;4012;5385;5659;4836;4462;6879;8547
31.12.2014;07133;Bad Kreuznach, Landkreis;1979;1883;2665;3773;2551;1678;4285;4329;4282;4010;4663;6611;6919;5875;5439;8055;6810;1890;1959;2553;3573;2408;1637;3843;4065;4144;4201;4900;6550;7029;6199;5701;8875;10610
31.12.2014;07134;Birkenfeld, Landkreis;926;905;1282;1915;1285;850;2268;2401;2181;2020;2313;3202;3721;3302;3019;4097;4091;871;844;1180;1742;1220;829;1931;2046;2053;1867;2342;3266;3593;3379;3043;4352;6255
31.12.2014;07135;Cochem-Zell, Landkreis;717;699;1032;1552;1057;678;1843;1751;1597;1530;1833;2721;2900;2501;2185;3331;3057;613;658;984;1442;971;657;1469;1457;1497;1544;1871;2612;2757;2388;2175;3377;4585
31.12.2014;07137;Mayen-Koblenz, Landkreis;2603;2570;3642;5139;3398;2452;6059;5800;5960;5723;6466;9185;9480;8179;7239;10401;9057;2492;2474;3503;4898;3351;2107;5216;5761;6010;5928;6633;9165;9436;8167;7393;10978;13576
31.12.2014;07138;Neuwied, Landkreis;2305;2215;3147;4685;3165;2163;5370;4991;4540;4473;5230;7578;8047;6910;6028;8837;8191;2052;2257;3044;4272;3041;1889;4533;4555;4787;4748;5555;7741;8129;6993;6074;9628;12144
31.12.2014;07140;Rhein-Hunsrück-Kreis;1167;1251;1749;2527;1775;1173;2909;2830;2750;2683;3146;4328;4613;4209;3648;5084;4618;1186;1141;1609;2489;1613;1051;2517;2580;2694;2634;3189;4295;4730;3944;3646;5318;6849
31.12.2014;07141;Rhein-Lahn-Kreis;1457;1462;1999;2860;1995;1379;3282;3273;3246;3253;3754;5097;5482;4808;4276;6505;5702;1385;1304;1954;2706;1867;1267;3066;2970;3169;3205;3711;5182;5476;4830;4321;7038;8206
31.12.2014;07143;Westerwaldkreis;2455;2578;3662;5178;3482;2317;5832;5593;5549;5428;6498;8874;9254;7622;6559;9456;8307;2368;2454;3439;4958;3362;2140;4959;5257;5449;5500;6607;8638;8930;7507;6628;10033;12258
31.12.2014;07211;Trier, kreisfreie Stadt;1423;1348;1794;2059;1322;1120;5349;5420;4468;3583;3287;3984;3736;3290;2728;4026;3817;1336;1200;1457;1992;1224;1308;6132;5482;4250;3078;2929;3761;3865;3481;3002;4541;6680
31.12.2014;07231;Bernkastel-Wittlich, Landkreis;1341;1382;1845;2666;1826;1232;3123;3165;3096;2995;3554;4718;5114;4350;4099;5451;5112;1293;1257;1808;2576;1784;1112;2803;2777;2960;2988;3496;4549;4984;4290;3873;5631;7731
31.12.2014;07232;Eifelkreis Bitburg-Prüm;1240;1302;1779;2409;1711;1136;3046;2853;2874;2581;2951;4171;4469;3867;3351;4404;4007;1119;1168;1606;2266;1571;1116;2638;2702;2634;2571;2973;4033;4301;3677;3078;4522;6282
31.12.2014;07233;Vulkaneifel, Landkreis;701;694;999;1460;1083;732;1781;1707;1509;1525;1704;2473;2776;2538;2219;3254;3106;696;643;952;1401;1060;668;1450;1440;1478;1524;1774;2430;2695;2405;2160;3380;4358
31.12.2014;07235;Trier-Saarburg, Landkreis;1872;1940;2700;3579;2448;1629;3893;3820;4151;4106;4814;6644;6698;5641;5078;6515;5889;1810;1974;2563;3443;2368;1566;3550;3751;4220;4359;4942;6430;6523;5477;4940;6841;9053
31.12.2014;07311;Frankenthal (Pfalz), kreisfreie Stadt;639;668;833;1142;738;476;1338;1537;1409;1397;1429;1915;1921;1744;1408;2177;2330;633;585;766;997;686;512;1330;1609;1502;1362;1453;1839;1875;1703;1591;2793;3387
31.12.2014;07312;Kaiserslautern, kreisfreie Stadt;1250;1165;1563;1856;1346;1192;5228;4733;3205;2612;2710;3620;3905;3360;2897;4234;3875;1105;1054;1315;1825;1313;1059;3746;3657;3223;2645;2680;3375;3739;3308;3128;5246;6213
31.12.2014;07313;Landau in der Pfalz, kreisfreie Stadt;542;518;681;942;669;447;1580;1719;1409;1184;1384;1834;1858;1547;1276;1811;1567;506;538;719;880;564;503;2430;1828;1438;1210;1394;1805;1767;1470;1286;2267;2892
31.12.2014;07314;Ludwigshafen am Rhein, kreisfreie Stadt;2575;2519;3197;3905;2431;1676;5202;6027;5756;5321;5555;6892;6685;5231;4188;7228;6732;2490;2217;2875;3693;2504;1727;5147;5636;5506;4947;5242;6294;6288;5326;4905;8035;9880
31.12.2014;07315;Mainz, kreisfreie Stadt;2943;2692;3403;4160;2524;1997;7903;10313;9349;7096;6618;7551;6919;5733;5020;8433;7355;2759;2403;3026;3544;2163;1959;10465;11255;8978;6749;6320;7358;7193;6385;5554;9541;11330
31.12.2014;07316;Neustadt an der Weinstraße, kreisfreie Stadt;657;642;930;1185;752;596;1396;1535;1469;1273;1530;2169;2357;2109;1628;2605;2615;671;600;828;1110;770;491;1332;1499;1430;1337;1520;2141;2350;2101;1875;3109;3952
31.12.2014;07317;Pirmasens, kreisfreie Stadt;465;461;653;820;612;427;1148;1208;1000;965;1089;1620;1742;1636;1427;1960;2096;422;430;558;816;582;412;1039;1076;964;980;1115;1465;1786;1561;1490;2430;3591
31.12.2014;07318;Speyer, kreisfreie Stadt;653;673;885;1184;757;530;1292;1493;1460;1367;1473;2108;2204;1796;1560;2418;2111;631;655;821;1153;776;470;1279;1401;1508;1501;1596;2028;2097;1952;1791;2850;3382
31.12.2014;07319;Worms, kreisfreie Stadt;1172;1124;1583;1934;1260;863;2654;2658;2461;2448;2565;3313;3343;2832;2436;3746;3147;1122;954;1432;1928;1252;828;2653;2612;2527;2336;2466;3099;3373;3107;2652;4090;5040
31.12.2014;07320;Zweibrücken, kreisfreie Stadt;388;400;555;798;509;375;1062;1266;1124;922;976;1265;1405;1270;1158;1625;1597;409;378;518;724;512;330;870;1061;961;902;949;1273;1436;1344;1252;1896;2501
31.12.2014;07331;Alzey-Worms, Landkreis;1645;1735;2245;3296;2244;1470;3596;3512;3630;3492;4070;5552;5847;5234;4559;5837;4640;1606;1488;2159;3098;2186;1302;3104;3294;3352;3596;4109;5693;5899;5260;4470;5939;6839
31.12.2014;07332;Bad Dürkheim, Landkreis;1500;1502;2171;3103;2218;1476;3414;3183;3089;3267;3941;5881;6094;5336;4689;7291;6164;1420;1488;1989;2943;2002;1371;2912;2986;3304;3419;4306;5881;6278;5355;4875;7881;8801
31.12.2014;07333;Donnersbergkreis;914;917;1337;1964;1330;881;2027;2036;1931;2012;2288;3180;3564;3150;2837;3542;3047;849;918;1342;1842;1309;798;1832;1790;1955;2070;2403;3218;3503;3093;2703;3671;4709
31.12.2014;07334;Germersheim, Landkreis;1671;1639;2390;3202;2086;1445;3735;3937;3894;3671;4201;5573;5755;4973;4133;5698;4731;1625;1558;2185;2856;2075;1466;3795;3664;3782;3603;4179;5390;5481;4775;4151;5969;6978
31.12.2014;07335;Kaiserslautern, Landkreis;1304;1336;1878;2673;1902;1163;3049;2835;2755;2733;3066;4180;4770;4260;3811;4879;4488;1222;1275;1747;2528;1673;1094;2641;2758;2863;2879;3259;4308;4857;4330;3661;5290;6821
31.12.2014;07336;Kusel, Landkreis;794;817;1152;1610;1164;776;1976;1955;1867;1710;2050;2964;3350;3055;2918;3518;3408;757;788;1115;1508;1024;767;1756;1750;1782;1761;2160;2851;3231;3042;2693;3764;5050
31.12.2014;07337;Südliche Weinstraße, Landkreis;1317;1379;1832;2685;1787;1272;2986;2823;2936;2840;3361;4827;5265;4406;3915;5565;4959;1247;1218;1728;2445;1723;1174;2761;2664;2753;2892;3502;4852;5111;4349;4003;5996;7162
31.12.2014;07338;Rhein-Pfalz-Kreis;1994;1920;2550;3508;2430;1637;3925;3833;3966;4113;4565;6393;7114;5889;4936;7730;7039;1844;1809;2442;3344;2306;1494;3506;3629;4254;4256;4771;6629;7063;5800;5144;8540;9678
31.12.2014;07339;Mainz-Bingen, Landkreis;2713;2869;3965;5095;3480;2249;5432;5206;5591;5688;6919;9423;9342;7812;6822;9993;7769;2565;2626;3694;4948;3403;2084;4830;4957;5847;6078;7252;9470;9459;8099;6885;10645;11304
31.12.2014;07340;Südwestpfalz, Landkreis;962;986;1443;2201;1561;1073;2645;2551;2345;2336;2782;4155;4641;4109;3578;5059;5108;1009;1008;1375;1929;1437;943;2326;2239;2395;2361;2901;4214;4560;4036;3681;5313;7148
31.12.2014;08111;Stuttgart, kreisfreie Stadt;8789;8079;10373;12631;7899;5874;21138;28717;28766;23381;22146;23720;22081;17532;14238;25820;22333;8332;7921;10013;11859;7282;5622;20872;28008;26780;21803;20323;22028;20948;17445;15796;29193;34699
